distance,traffic,time_of_day,day_of_week,arrival_minutes
2.9,5,18,3,13.5
11.22,6,21,3,37.8
7.07,8,21,6,21.3
15.41,9,6,3,51.7
7.37,6,1,3,26.5
11.4,5,4,2,38.8
11.79,10,13,6,37.4
17.84,6,0,0,58.4
15.27,2,21,6,43.8
15.71,8,16,2,53.8
12.65,6,2,4,42.8
0.72,2,4,2,1.6
19.46,8,6,4,65.2
2.14,7,22,4,8.3
13.78,9,4,0,52.1
1.37,9,23,4,9.5
19.78,8,21,5,57.0
12.33,5,15,2,43.1
16.86,1,20,3,55.6
7.64,8,6,2,29.7
5.84,7,9,1,25.4
17.33,9,21,4,58.6
15.43,5,15,4,53.4
10.69,6,15,2,38.2
13.38,6,5,0,48.8
3.9,5,16,4,14.8
17.43,2,19,1,74.6
8.87,9,4,4,33.1
4.62,5,22,3,18.8
17.21,6,20,3,59.8
10.89,9,6,1,37.5
3.49,3,4,6,9.5
16.41,10,1,6,49.4
15.9,3,4,2,52.0
19.28,6,4,3,65.8
15.15,3,13,5,44.7
12.64,9,0,2,45.2
11.08,8,21,5,35.5
8.43,6,4,5,24.2
1.63,6,18,6,8.7
14.24,5,10,6,43.0
17.45,2,13,5,48.8
8.95,3,7,1,37.8
7.76,9,13,5,24.1
8.75,6,22,1,33.1
9.09,9,19,3,41.9
2.29,4,23,1,9.8
14.44,10,22,1,51.6
2.75,4,20,3,12.2
19.67,1,17,1,85.7
13.14,5,9,5,48.8
10.66,5,11,3,36.8
19.7,2,4,4,64.3
7.86,10,1,5,27.8
13.57,6,8,5,52.5
11.15,9,16,0,41.0
16.36,5,1,0,54.4
18.49,10,3,3,63.9
16.08,10,14,4,56.1
18.01,3,0,0,59.2
8.14,3,17,6,30.2
15.1,2,19,4,67.8
2.83,6,22,1,11.5
6.78,8,22,1,27.3
8.3,9,10,3,32.2
4.09,4,3,4,15.4
9.79,7,15,4,38.4
8.0,1,16,3,26.5
15.8,5,7,6,57.2
8.92,10,0,2,33.4
12.24,9,5,4,44.7
4.73,2,17,1,21.7
9.42,2,3,6,28.1
0.61,4,1,2,3.9
15.16,3,16,2,50.5
3.77,1,6,5,10.4
16.92,9,3,3,58.3
19.22,8,16,5,56.2
18.71,4,20,5,53.3
2.28,2,8,1,10.4
0.64,10,20,0,5.9
17.77,9,5,4,61.6
12.9,10,17,1,58.2
7.36,9,12,3,28.1
2.21,1,0,3,7.1
13.66,3,5,1,45.6
3.71,4,16,6,11.5
13.1,3,14,0,44.5
0.87,2,23,6,5.8
17.32,4,15,6,51.7
14.02,6,5,3,47.1
16.38,2,22,3,53.2
12.77,10,10,4,46.4
13.79,1,20,2,44.4
5.14,7,7,2,23.3
19.88,3,9,5,70.7
10.86,1,10,5,30.8
2.39,8,5,4,13.1
19.11,8,3,0,66.6
6.57,7,8,0,32.3
9.16,5,4,3,31.7
11.95,2,7,6,43.1
6.83,2,12,2,21.3
18.83,5,8,3,81.4
14.92,7,15,2,53.0
2.48,9,0,1,10.3
4.66,5,22,6,16.2
14.0,6,5,6,41.0
2.48,7,4,4,10.5
4.55,9,9,4,25.0
11.0,7,22,2,36.7
5.23,9,9,0,29.0
14.83,4,9,1,65.0
2.94,7,20,3,11.1
13.78,10,9,5,55.7
7.08,5,13,1,25.6
19.69,9,16,2,68.4
12.48,6,11,6,34.3
8.1,4,0,3,26.5
17.9,6,7,4,77.2
11.9,6,23,6,35.9
4.7,8,19,3,23.0
9.72,3,13,4,32.7
2.15,2,3,1,8.2
8.25,8,19,2,35.2
12.71,7,7,2,52.8
6.56,1,3,0,21.7
9.49,7,3,5,27.1
2.56,4,17,6,9.0
2.93,6,7,1,15.4
9.15,2,17,6,35.8
3.05,1,21,3,10.0
8.75,2,14,3,30.6
15.07,1,13,1,49.4
8.85,2,8,5,31.2
2.63,3,0,6,8.3
3.26,10,9,2,18.8
2.5,4,11,6,7.2
1.98,2,18,6,7.0
17.23,10,9,1,75.8
14.96,10,16,1,51.7
11.33,5,16,3,38.6
6.16,5,6,5,21.5
9.11,6,16,2,31.2
19.08,5,3,6,54.3
4.36,10,10,5,16.8
6.71,2,21,2,21.2
9.5,7,21,0,34.8
19.53,7,21,3,64.3
7.49,6,12,5,22.4
7.34,5,15,0,24.9
12.26,5,17,4,54.8
15.97,2,10,3,52.0
17.36,5,0,1,59.3
4.76,2,7,1,22.2
17.45,10,17,3,78.0
2.51,10,17,4,15.1
2.98,7,7,0,15.5
14.05,2,3,6,40.7
17.55,7,1,1,54.3
9.1,9,23,0,33.7
8.47,6,17,5,30.0
16.78,8,6,0,57.0
12.97,9,5,4,46.4
8.25,1,2,3,28.4
9.82,3,0,2,32.6
15.68,2,4,3,52.6
9.51,10,4,1,39.0
6.77,5,0,0,24.7
7.51,2,0,2,26.4
11.75,2,8,4,50.1
2.31,9,17,0,15.5
16.57,2,22,1,52.7
15.79,3,5,1,52.3
4.29,5,21,0,14.7
9.68,4,6,6,29.6
3.97,6,15,0,17.4
12.65,5,17,0,54.0
19.79,6,7,5,72.6
1.16,5,4,2,8.3
9.36,2,6,2,33.8
16.53,2,15,2,56.6
6.04,3,22,6,18.5
15.25,2,6,5,42.6
4.45,9,0,0,19.7
12.71,6,3,2,43.6
10.23,9,13,5,31.1
4.77,6,21,4,20.4
14.48,8,22,3,52.3
17.54,4,17,2,75.8
11.32,9,11,6,32.9
2.08,1,13,3,8.9
18.7,1,20,4,61.2
13.36,7,3,5,40.0
18.35,6,3,2,62.9
13.08,5,6,3,45.4
19.12,1,3,0,61.6
7.35,7,20,1,25.2
16.38,10,9,1,72.6
8.74,7,17,3,41.3
4.42,7,12,6,14.8
11.1,10,18,6,45.0
14.24,8,8,6,53.4
14.77,6,17,0,66.6
17.19,5,5,0,56.5
15.59,5,19,3,67.6
9.6,8,1,2,36.2
16.55,2,20,0,52.1
5.88,8,10,5,20.9
17.83,9,13,5,50.6
6.63,2,3,5,18.7
1.58,3,7,2,7.4
16.29,6,7,2,69.9
13.75,3,18,2,57.9
15.64,5,14,4,52.6
1.95,9,4,2,5.9
16.18,7,0,1,54.8
7.72,9,22,0,29.6
14.9,1,2,0,51.3
1.34,6,20,1,4.5
0.86,8,1,6,9.9
9.15,1,6,6,25.8
16.17,3,15,1,53.7
9.33,4,1,2,31.8
10.74,9,15,3,38.1
2.38,7,22,3,8.9
17.14,2,9,3,72.3
0.6,1,7,4,3.6
5.19,1,1,6,13.9
0.57,1,9,1,4.9
8.11,8,2,3,28.6
7.35,10,7,0,35.6
2.09,3,13,3,10.4
15.76,10,14,3,56.0
0.9,6,15,4,5.5
12.57,4,19,6,44.5
10.41,4,6,3,36.0
9.99,2,16,3,33.3
2.9,9,3,1,14.9
12.09,2,9,3,48.5
18.54,7,15,6,53.3
18.13,1,13,3,59.5
19.38,4,10,0,62.8
16.86,3,10,4,56.4
9.54,5,17,5,37.2
9.38,3,12,2,32.2
4.87,7,12,6,18.3
11.66,10,5,0,44.5
10.79,3,22,5,30.1
1.03,5,4,3,7.8
3.68,4,14,5,14.6
13.81,10,20,5,42.2
7.61,7,1,5,27.4
11.97,9,14,0,45.8
6.32,6,3,3,23.6
2.55,4,23,5,8.7
3.29,3,12,4,10.4
14.72,4,20,3,51.0
10.76,3,14,3,35.2
3.1,10,12,5,11.4
2.63,2,6,4,10.9
9.39,1,5,1,30.2
4.66,7,22,4,15.9
4.49,4,4,3,18.4
6.26,7,10,6,20.3
17.45,6,3,0,59.3
14.75,1,13,1,49.4
19.34,8,2,5,54.9
2.92,5,7,1,14.2
7.11,6,1,4,25.3
17.37,7,17,0,75.9
4.75,7,2,0,17.4
4.29,1,4,1,13.7
7.41,3,0,2,25.9
19.57,2,2,2,62.8
13.21,2,16,1,43.1
6.13,10,0,6,19.0
19.83,7,23,5,56.9
1.78,4,11,6,7.3
14.54,3,5,1,48.6
14.19,9,21,5,41.8
18.04,9,14,3,63.4
8.22,5,22,0,26.7
6.08,7,16,5,22.6
6.84,3,8,1,30.0
16.77,2,20,5,45.0
3.55,8,9,2,18.6
8.32,5,23,3,27.5
2.22,10,7,3,13.9
7.14,5,18,3,30.0
7.61,8,0,4,27.2
5.67,4,7,1,26.3
10.42,10,5,3,36.7
2.63,10,19,3,15.5
5.99,5,12,6,16.6
1.37,4,14,1,4.8
1.02,7,17,1,9.2
16.62,7,21,0,53.6
9.81,7,16,4,36.2
8.48,5,17,0,37.3
10.24,9,5,0,35.6
11.67,3,5,0,36.2
11.82,9,14,3,41.3
18.28,10,15,0,63.0
2.69,1,18,4,10.3
13.55,1,5,6,36.3
10.43,3,5,6,31.6
18.87,7,19,1,82.1
19.78,9,8,2,87.5
3.3,7,23,6,14.1
3.49,5,6,0,15.2
5.83,7,8,1,25.6
3.73,4,3,3,12.9
9.23,3,2,2,28.0
2.29,6,6,6,14.1
6.34,10,21,3,25.1
9.06,6,5,0,30.0
1.19,4,6,1,5.4
1.92,7,22,3,6.0
3.56,3,14,6,11.0
2.25,9,6,6,12.9
5.83,8,2,2,24.7
13.46,3,20,5,38.3
12.51,1,15,2,39.1
3.84,7,10,3,14.9
2.4,7,6,2,10.8
6.86,7,1,5,20.0
6.63,2,2,2,23.3
7.81,5,13,0,28.4
19.2,9,9,2,82.6
14.92,1,0,3,46.6
6.81,5,17,0,29.1
19.45,2,6,6,54.1
7.77,1,8,6,30.7
13.81,9,22,6,42.6
14.71,2,19,2,63.8
16.66,10,13,0,58.5
1.71,10,22,6,9.5
7.08,5,8,2,30.9
19.86,8,11,5,59.0
13.55,10,20,5,42.2
13.54,6,9,4,59.7
17.21,1,20,4,55.9
13.21,2,17,5,46.9
10.33,1,9,4,42.6
1.98,5,5,1,8.1
9.97,4,6,5,27.7
9.17,6,3,3,33.6
10.73,5,4,2,35.7
14.52,1,10,4,47.2
5.71,10,16,0,23.1
10.68,6,13,5,30.6
16.25,3,10,1,52.2
15.56,2,16,6,43.0
19.52,4,8,0,82.3
4.72,8,11,0,17.9
8.5,5,5,3,28.4
11.04,2,20,2,34.6
13.3,4,2,3,42.0
18.49,4,22,0,59.0
10.09,8,14,3,34.6
15.76,9,20,3,56.4
13.23,2,17,0,55.1
14.07,2,16,3,48.5
16.61,4,20,5,47.1
16.73,10,20,2,62.7
8.75,4,3,2,30.7
17.18,6,8,5,65.6
8.36,2,16,0,27.3
7.32,8,17,0,31.1
18.42,3,22,2,60.0
2.02,3,0,1,6.5
10.25,5,17,2,48.1
16.53,1,5,5,48.6
7.66,8,19,6,30.3
16.7,7,16,4,55.3
10.13,5,18,4,43.3
13.5,8,19,3,59.4
11.05,6,10,3,37.5
15.09,6,9,5,57.7
10.82,7,15,0,35.8
10.29,4,2,3,34.3
17.91,5,9,4,75.3
5.58,4,13,5,17.7
5.93,4,4,0,21.5
3.83,3,19,0,17.7
